OBJECTID,GEOID,ALAND,AWATER,NAME,State,County,B17020_001E,B17020_001M,B17020_002E,B17020_002M,B17020_003E,B17020_003M,B17020_004E,B17020_004M,B17020_005E,B17020_005M,B17020_006E,B17020_006M,B17020_007E,B17020_007M,B17020_008E,B17020_008M,B17020_009E,B17020_009M,B17020_010E,B17020_010M,B17020_011E,B17020_011M,B17020_012E,B17020_012M,B17020_013E,B17020_013M,B17020_014E,B17020_014M,B17020_015E,B17020_015M,B17020_016E,B17020_016M,B17020_017E,B17020_017M,B17020_calc_pctPovE,B17020_calc_pctPovM,B17020_calc_numChildPovE,B17020_calc_numChildPovM,B17020_calc_pctChildPovE,B17020_calc_pctChildPovM,Shape__Area,Shape__Length,B17020_calc_numTotChildE,B17020_calc_numTotChildM,Shape__Area_2,Shape__Length_2
122,11001008100,290283,0,Census Tract 81,District of Columbia,District of Columbia,3267,225,54,63,0,12,0,12,0,12,54,63,0,12,0,12,0,12,3213,233,368,94,122,49,49,38,2230,191,313,74,83,33,48,56,1.7,1.92501175949759,0,21,0,3.8961038961039,479873.89453125,2986.79586768652,539,115,479873.89453125,2986.79586768652
123,11001008200,338424,0,Census Tract 82,District of Columbia,District of Columbia,2821,291,225,182,0,12,0,12,0,12,223,183,2,4,0,12,0,12,2596,271,201,61,110,59,57,52,1738,200,397,85,93,62,0,12,8,6.39893639519136,0,21,0,5.70652173913043,559437.359375,3907.70288449043,368,102,559437.359375,3907.70288449043
124,11001008301,303973,0,Census Tract 83.01,District of Columbia,District of Columbia,2350,303,81,50,0,12,0,12,0,12,81,50,0,12,0,12,0,12,2269,311,236,87,56,49,21,24,1588,246,334,109,34,26,0,12,3.4,2.08072767304839,0,21,0,6.70926517571885,502566.29296875,3047.61819394524,313,105,502566.29296875,3047.61819394524
125,11001008302,260891,0,Census Tract 83.02,District of Columbia,District of Columbia,2404,189,84,43,0,12,0,12,0,12,80,44,4,7,0,12,0,12,2320,191,185,67,123,35,87,39,1613,151,227,89,39,29,46,33,3.5,1.76746460255696,0,21,0,5.31645569620253,431329.88671875,3054.18651503745,395,88,431329.88671875,3054.18651503745
126,11001008402,274180,0,Census Tract 84.02,District of Columbia,District of Columbia,2346,299,203,85,0,12,0,12,2,7,50,56,77,59,65,50,9,14,2143,301,139,66,0,12,28,34,1664,286,241,93,21,24,50,34,8.7,3.45126722139851,2,18,1.2,10.636693500602,453327.0703125,3466.79290547058,169,77,453327.0703125,3466.79290547058
127,11001008410,219938,0,Census Tract 84.10,District of Columbia,District of Columbia,1519,239,87,50,0,12,0,12,0,12,56,37,27,25,0,12,4,7,1432,237,142,71,40,32,19,21,1125,165,91,50,15,16,0,12,5.7,3.16588070534112,0,21,0,10.4477611940299,363672.828125,2998.61753106588,201,83,363672.828125,2998.61753106588
128,11001008701,382687,0,Census Tract 87.01,District of Columbia,District of Columbia,2359,450,155,89,0,12,0,12,0,12,133,77,14,20,8,13,0,12,2204,438,52,38,29,30,46,46,1783,348,172,74,56,60,66,41,6.6,3.55849765049898,0,21,0,16.5354330708661,632995.609375,3476.81499805413,127,70,632995.609375,3476.81499805413
129,11001008702,469972,0,Census Tract 87.02,District of Columbia,District of Columbia,2751,309,553,160,24,28,43,33,7,12,392,122,55,40,25,20,7,7,2198,353,183,75,38,32,61,49,1698,244,180,69,6,8,32,23,20.1,5.3599043813475,74,45,20.8,11.0454257098803,777398.296875,4761.94278937577,356,105,777398.296875,4761.94278937577
130,11001008802,468578,0,Census Tract 88.02,District of Columbia,District of Columbia,4300,431,770,263,143,122,0,12,15,24,408,166,108,62,78,46,18,19,3530,402,232,133,147,85,107,72,2278,299,547,171,152,53,67,42,17.9,5.84699407779056,158,125,24.5,17.6238729888237,774853.47265625,3641.49607937174,644,214,774853.47265625,3641.49607937174
131,11001008803,1165234,0,Census Tract 88.03,District of Columbia,District of Columbia,1767,297,859,291,87,48,84,50,112,68,509,194,67,59,0,12,0,12,908,191,79,59,45,32,45,35,645,140,90,51,0,12,4,7,48.6,14.2985608424443,283,97,62.6,13.0304731036655,1927222.51171875,6846.51689120056,452,123,1927222.51171875,6846.51689120056
132,11001008804,778052,0,Census Tract 88.04,District of Columbia,District of Columbia,2537,311,617,193,12,20,54,69,42,40,456,158,34,39,10,16,9,14,1920,310,106,62,71,48,112,79,1307,278,217,87,104,62,3,9,24.3,6.99889888791083,108,82,27.2,18.3502709920637,1286840.58203125,5079.7137836681,397,138,1286840.58203125,5079.7137836681
133,11001008903,305651,0,Census Tract 89.03,District of Columbia,District of Columbia,3252,403,873,382,245,159,74,78,30,47,459,204,57,55,0,12,8,12,2379,379,87,91,133,104,90,80,1660,224,314,106,56,39,39,34,26.8,11.2656937511928,349,183,53,19.7244985747992,505436.56640625,3743.378375745,659,243,505436.56640625,3743.378375745
134,11001008904,449343,0,Census Tract 89.04,District of Columbia,District of Columbia,3680,383,1079,301,157,144,34,35,46,39,676,190,120,61,24,28,22,26,2601,393,246,117,190,88,92,72,1752,325,266,78,49,39,6,10,29.3,7.58878106295766,237,153,31,17.8250458213448,742986.1328125,4034.66289491237,765,224,742986.1328125,4034.66289491237
135,11001009000,1430009,32262,Census Tract 90,District of Columbia,District of Columbia,3523,234,652,152,0,12,0,12,32,38,170,89,279,108,162,88,9,16,2871,283,402,147,107,72,78,67,1367,217,629,143,259,107,29,28,18.5,4.13568729088511,32,42,5.2,6.61122244116446,2400056.09375,6902.85070919323,619,182,2400056.09375,6902.85070919323
136,11001009102,1835339,453,Census Tract 91.02,District of Columbia,District of Columbia,5175,519,1577,538,207,211,221,185,218,133,731,240,171,89,29,31,0,17,3598,482,315,161,118,83,326,147,2261,293,433,135,71,42,74,39,30.5,9.93677097922114,646,311,46,18.1180795666454,3036982.4921875,8137.52297097977,1405,388,3036982.4921875,8137.52297097977
137,11001009201,640834,0,Census Tract 92.01,District of Columbia,District of Columbia,2395,332,498,203,0,12,25,27,6,10,423,207,27,27,11,17,6,14,1897,228,211,61,73,42,61,75,1277,155,178,69,65,43,32,30,20.8,7.97082948815444,31,31,8.2,7.88846962195203,1060438.859375,4288.79849046897,376,110,1060438.859375,4288.79849046897
138,11001009203,581089,0,Census Tract 92.03,District of Columbia,District of Columbia,2792,356,524,267,0,12,61,53,73,83,340,161,40,36,10,19,0,12,2268,359,103,80,182,138,64,61,1395,172,356,107,91,41,77,65,18.8,9.25878111997332,134,99,27.7,17.082981090895,961387.66796875,4435.25857998742,483,198,961387.66796875,4435.25857998742
139,11001009204,302795,0,Census Tract 92.04,District of Columbia,District of Columbia,2918,312,823,231,90,81,126,82,32,38,388,140,118,56,61,44,8,12,2095,340,173,111,150,119,91,55,1219,212,257,97,176,86,29,26,28.2,7.31948237855009,248,121,37.5,13.86136869504,500982.9609375,3243.38102003423,662,210,500982.9609375,3243.38102003423
140,11001009301,1097297,0,Census Tract 93.01,District of Columbia,District of Columbia,3468,406,361,163,8,12,0,12,0,12,217,113,71,79,50,40,15,21,3107,428,318,131,123,62,132,65,1825,256,411,130,170,108,128,62,10.4,4.5393835815847,8,21,1.4,3.59378667374801,1815874.36328125,5885.56917387804,581,160,1815874.36328125,5885.56917387804
